Transmitance	
Time	19/07/2024 13:24:42	19/07/2024 13:27:18	19/07/2024 13:29:05	19/07/2024 13:30:07	19/07/2024 13:30:45	19/07/2024 13:32:09	19/07/2024 13:32:32	19/07/2024 13:33:10	19/07/2024 13:33:45	19/07/2024 13:34:03	19/07/2024 13:34:55	19/07/2024 13:35:19	19/07/2024 13:36:01	19/07/2024 13:36:23	19/07/2024 13:36:40	
Name																
GPS		55° 51.7079' N  -3° 371.9505' W	55° 51.7116' N  -3° 371.9566' W	55° 51.7089' N  -3° 371.9482' W	55° 51.7100' N  -3° 371.9536' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	
[nm]	
410.9	0.000000E+000	0.000000E+000	0.000000E+000	2.865330E-003	2.865330E-003	4.016064E-003	4.016064E-003	4.016064E-003	4.016064E-003	4.016064E-003	4.016064E-003	0.000000E+000	4.016064E-003	4.016064E-003	4.016064E-003
412.8	2.008032E-003	2.008032E-003	0.000000E+000	0.000000E+000	2.008032E-003	0.000000E+000	3.076923E-003	6.153846E-003	0.000000E+000	3.076923E-003	0.000000E+000	0.000000E+000	6.153846E-003	0.000000E+000	3.076923E-003
414.7	1.406470E-003	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	2.242152E-003	2.242152E-003	2.242152E-003	2.242152E-003	2.242152E-003	0.000000E+000	2.242152E-003	2.242152E-003	2.242152E-003	0.000000E+000
416.5	8.944544E-004	0.000000E+000	0.000000E+000	0.000000E+000	8.944544E-004	0.000000E+000	1.508296E-003	3.016591E-003	1.508296E-003	1.508296E-003	1.508296E-003	1.508296E-003	1.508296E-003	0.000000E+000	1.508296E-003
418.4	6.675567E-004	6.675567E-004	0.000000E+000	6.675567E-004	6.675567E-004	0.000000E+000	1.036269E-003	2.072539E-003	0.000000E+000	1.036269E-003	0.000000E+000	1.036269E-003	1.036269E-003	1.036269E-003	0.000000E+000
420.3	5.027652E-004	5.027652E-004	0.000000E+000	5.027652E-004	0.000000E+000	0.000000E+000	0.000000E+000	1.433692E-003	7.168459E-004	7.168459E-004	0.000000E+000	7.168459E-004	7.168459E-004	7.168459E-004	7.168459E-004
422.2	0.000000E+000	7.773028E-004	0.000000E+000	3.886514E-004	3.886514E-004	0.000000E+000	0.000000E+000	5.417118E-004	5.417118E-004	5.417118E-004	0.000000E+000	5.417118E-004	5.417118E-004	5.417118E-004	5.417118E-004
424.1	6.618134E-004	3.309067E-004	0.000000E+000	3.309067E-004	0.000000E+000	4.205214E-004	4.205214E-004	8.410429E-004	4.205214E-004	0.000000E+000	0.000000E+000	4.205214E-004	4.205214E-004	4.205214E-004	4.205214E-004
426	0.000000E+000	5.844535E-004	0.000000E+000	0.000000E+000	2.922268E-004	0.000000E+000	3.459011E-004	6.918021E-004	3.459011E-004	3.459011E-004	6.918021E-004	0.000000E+000	6.918021E-004	3.459011E-004	3.459011E-004
427.9	2.606203E-004	2.606203E-004	2.606203E-004	2.606203E-004	2.606203E-004	3.028468E-004	3.028468E-004	6.056935E-004	3.028468E-004	3.028468E-004	0.000000E+000	3.028468E-004	3.028468E-004	3.028468E-004	0.000000E+000
429.8	2.424830E-004	2.424830E-004	2.424830E-004	0.000000E+000	4.849661E-004	0.000000E+000	2.704164E-004	5.408329E-004	2.704164E-004	2.704164E-004	5.408329E-004	2.704164E-004	2.704164E-004	2.704164E-004	2.704164E-004
431.6	2.220742E-004	2.220742E-004	2.220742E-004	2.220742E-004	2.220742E-004	0.000000E+000	2.431907E-004	4.863813E-004	2.431907E-004	2.431907E-004	2.431907E-004	2.431907E-004	2.431907E-004	4.863813E-004	2.431907E-004
433.5	2.070393E-004	2.070393E-004	2.070393E-004	2.070393E-004	2.070393E-004	2.241650E-004	2.241650E-004	4.483300E-004	2.241650E-004	2.241650E-004	0.000000E+000	2.241650E-004	0.000000E+000	2.241650E-004	2.241650E-004
435.4	1.949698E-004	1.949698E-004	1.949698E-004	0.000000E+000	1.949698E-004	2.101282E-004	2.101282E-004	4.202564E-004	0.000000E+000	2.101282E-004	4.202564E-004	2.101282E-004	2.101282E-004	4.202564E-004	0.000000E+000
437.3	1.851166E-004	1.851166E-004	1.851166E-004	1.851166E-004	1.851166E-004	1.971998E-004	1.971998E-004	3.943995E-004	1.971998E-004	1.971998E-004	1.971998E-004	1.971998E-004	1.971998E-004	3.943995E-004	1.971998E-004
439.2	1.760253E-004	3.520507E-004	1.760253E-004	0.000000E+000	1.760253E-004	0.000000E+000	3.731343E-004	3.731343E-004	0.000000E+000	1.865672E-004	3.731343E-004	1.865672E-004	1.865672E-004	3.731343E-004	1.865672E-004
441.1	1.689189E-004	1.689189E-004	1.689189E-004	1.689189E-004	1.689189E-004	1.780627E-004	0.000000E+000	3.561254E-004	1.780627E-004	1.780627E-004	1.780627E-004	1.780627E-004	1.780627E-004	1.780627E-004	1.780627E-004
443	1.610565E-004	1.610565E-004	3.221131E-004	3.221131E-004	1.610565E-004	1.692907E-004	1.692907E-004	3.385813E-004	1.692907E-004	3.385813E-004	1.692907E-004	1.692907E-004	1.692907E-004	1.692907E-004	1.692907E-004
444.9	1.551109E-004	3.102218E-004	1.551109E-004	3.102218E-004	1.551109E-004	1.620746E-004	1.620746E-004	3.241491E-004	1.620746E-004	3.241491E-004	1.620746E-004	1.620746E-004	3.241491E-004	3.241491E-004	1.620746E-004
446.7	1.489647E-004	2.979294E-004	1.489647E-004	1.489647E-004	1.489647E-004	1.553760E-004	3.107520E-004	3.107520E-004	0.000000E+000	1.553760E-004	3.107520E-004	1.553760E-004	3.107520E-004	1.553760E-004	1.553760E-004
448.6	1.429593E-004	2.859185E-004	1.429593E-004	2.859185E-004	2.859185E-004	1.492315E-004	2.984629E-004	2.984629E-004	1.492315E-004	2.984629E-004	2.984629E-004	1.492315E-004	2.984629E-004	2.984629E-004	1.492315E-004
450.5	2.756340E-004	2.756340E-004	2.756340E-004	1.378170E-004	1.378170E-004	2.866151E-004	2.866151E-004	2.866151E-004	2.866151E-004	1.433075E-004	2.866151E-004	1.433075E-004	2.866151E-004	2.866151E-004	1.433075E-004
452.4	2.660282E-004	2.660282E-004	1.330141E-004	1.330141E-004	1.330141E-004	0.000000E+000	1.381979E-004	4.145937E-004	1.381979E-004	1.381979E-004	2.763958E-004	2.763958E-004	2.763958E-004	2.763958E-004	2.763958E-004
454.3	1.285678E-004	2.571355E-004	2.571355E-004	0.000000E+000	1.285678E-004	1.327492E-004	2.654985E-004	3.982477E-004	1.327492E-004	2.654985E-004	1.327492E-004	1.327492E-004	1.327492E-004	1.327492E-004	2.654985E-004
456.2	1.239618E-004	3.718855E-004	1.239618E-004	1.239618E-004	1.239618E-004	1.279100E-004	1.279100E-004	3.837299E-004	2.558199E-004	1.279100E-004	2.558199E-004	1.279100E-004	2.558199E-004	2.558199E-004	2.558199E-004
458	1.196029E-004	2.392058E-004	2.392058E-004	1.196029E-004	2.392058E-004	1.231375E-004	1.231375E-004	2.462751E-004	2.462751E-004	1.231375E-004	2.462751E-004	1.231375E-004	3.694126E-004	2.462751E-004	2.462751E-004
459.9	2.311871E-004	2.311871E-004	1.155936E-004	2.311871E-004	2.311871E-004	1.191043E-004	1.191043E-004	3.573130E-004	2.382087E-004	1.191043E-004	2.382087E-004	2.382087E-004	2.382087E-004	2.382087E-004	2.382087E-004
461.8	2.237887E-004	3.356831E-004	1.118944E-004	0.000000E+000	1.118944E-004	2.298586E-004	2.298586E-004	3.447880E-004	2.298586E-004	2.298586E-004	1.149293E-004	2.298586E-004	2.298586E-004	2.298586E-004	2.298586E-004
463.7	2.161461E-004	2.161461E-004	1.080731E-004	2.161461E-004	2.161461E-004	2.219756E-004	1.109878E-004	3.329634E-004	2.219756E-004	2.219756E-004	2.219756E-004	1.109878E-004	2.219756E-004	2.219756E-004	2.219756E-004
465.6	2.098636E-004	2.098636E-004	3.147954E-004	1.049318E-004	2.098636E-004	1.074229E-004	1.074229E-004	3.222688E-004	2.148458E-004	1.074229E-004	1.074229E-004	1.074229E-004	3.222688E-004	3.222688E-004	3.222688E-004
467.4	2.035623E-004	3.053435E-004	2.035623E-004	1.017812E-004	2.035623E-004	3.117855E-004	2.078570E-004	4.157140E-004	2.078570E-004	2.078570E-004	1.039285E-004	2.078570E-004	3.117855E-004	2.078570E-004	2.078570E-004
469.3	1.975309E-004	1.975309E-004	1.975309E-004	1.975309E-004	1.975309E-004	1.007760E-004	2.015520E-004	3.023279E-004	2.015520E-004	2.015520E-004	2.015520E-004	2.015520E-004	2.015520E-004	3.023279E-004	3.023279E-004
471.2	1.924557E-004	2.886836E-004	1.924557E-004	1.924557E-004	1.924557E-004	2.939735E-004	9.799118E-005	2.939735E-004	9.799118E-005	1.959824E-004	1.959824E-004	1.959824E-004	2.939735E-004	2.939735E-004	2.939735E-004
473.1	2.813467E-004	1.875645E-004	1.875645E-004	9.378224E-005	1.875645E-004	1.908579E-004	1.908579E-004	2.862869E-004	1.908579E-004	1.908579E-004	1.908579E-004	1.908579E-004	1.908579E-004	2.862869E-004	2.862869E-004
475	1.825817E-004	2.738726E-004	1.825817E-004	9.129085E-005	1.825817E-004	9.291090E-005	1.858218E-004	3.716436E-004	2.787327E-004	1.858218E-004	2.787327E-004	1.858218E-004	2.787327E-004	2.787327E-004	2.787327E-004
476.8	1.783008E-004	2.674512E-004	1.783008E-004	1.783008E-004	1.783008E-004	2.720842E-004	9.069472E-005	3.627789E-004	1.813894E-004	1.813894E-004	1.813894E-004	1.813894E-004	2.720842E-004	2.720842E-004	2.720842E-004
478.7	1.747488E-004	2.621232E-004	1.747488E-004	1.747488E-004	1.747488E-004	1.767097E-004	8.835483E-005	3.534193E-004	1.767097E-004	1.767097E-004	2.650645E-004	1.767097E-004	2.650645E-004	2.650645E-004	1.767097E-004
480.6	2.568933E-004	2.568933E-004	1.712622E-004	8.563110E-005	2.568933E-004	1.732052E-004	2.598077E-004	2.598077E-004	1.732052E-004	1.732052E-004	2.598077E-004	1.732052E-004	1.732052E-004	2.598077E-004	2.598077E-004
482.5	2.518257E-004	2.518257E-004	1.678838E-004	1.678838E-004	2.518257E-004	1.692907E-004	1.692907E-004	3.385813E-004	1.692907E-004	2.539360E-004	1.692907E-004	1.692907E-004	2.539360E-004	2.539360E-004	2.539360E-004
