Transmitance	
Time	25/07/2024 16:33:08	25/07/2024 16:34:08	25/07/2024 16:34:42	25/07/2024 16:35:07	25/07/2024 16:35:44	25/07/2024 16:36:15	25/07/2024 16:36:35	25/07/2024 16:36:59	25/07/2024 16:37:38	25/07/2024 16:38:10	25/07/2024 16:38:34	25/07/2024 16:39:20	25/07/2024 16:39:45	25/07/2024 16:40:14	25/07/2024 16:40:27	25/07/2024 16:40:44	
Name																	
GPS	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7079' N  -3° 371.9466' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	
[nm]	
702.2	1.042777E-001	9.938514E-002	1.178310E-001	1.261264E-001	1.062493E-001	1.437507E-001	1.134316E-001	1.341832E-001	9.456165E-002	1.436447E-001	9.079826E-002	1.170359E-001	1.278225E-001	1.025390E-001	1.342627E-001	9.408460E-002
704.1	1.178300E-001	1.131740E-001	1.340770E-001	1.428685E-001	1.213280E-001	1.623373E-001	1.301461E-001	1.525365E-001	1.075697E-001	1.593625E-001	1.030013E-001	1.318194E-001	1.454714E-001	1.154316E-001	1.526959E-001	1.073307E-001
706	1.323129E-001	1.280473E-001	1.508806E-001	1.604988E-001	1.371593E-001	1.811739E-001	1.478699E-001	1.713692E-001	1.217062E-001	1.756321E-001	1.165374E-001	1.476567E-001	1.637759E-001	1.290598E-001	1.715823E-001	1.217862E-001
707.9	1.475046E-001	1.437704E-001	1.683250E-001	1.784358E-001	1.538544E-001	2.000481E-001	1.659177E-001	1.900979E-001	1.367892E-001	1.923982E-001	1.311453E-001	1.636441E-001	1.820468E-001	1.436367E-001	1.905259E-001	1.369229E-001
709.8	1.638613E-001	1.603267E-001	1.863045E-001	1.967011E-001	1.711799E-001	2.191865E-001	1.845315E-001	2.088706E-001	1.527509E-001	2.095422E-001	1.470288E-001	1.802063E-001	2.005964E-001	1.591715E-001	2.095154E-001	1.527778E-001
711.7	1.807467E-001	1.777748E-001	2.048609E-001	2.155550E-001	1.889819E-001	2.383203E-001	2.038887E-001	2.276803E-001	1.694572E-001	2.269241E-001	1.635971E-001	1.971105E-001	2.193357E-001	1.758304E-001	2.287875E-001	1.695382E-001
713.6	1.985958E-001	1.959665E-001	2.237171E-001	2.345347E-001	2.071918E-001	2.576375E-001	2.234453E-001	2.466297E-001	1.869428E-001	2.450261E-001	1.814253E-001	2.144488E-001	2.379593E-001	1.931398E-001	2.479072E-001	1.871059E-001
715.5	2.170935E-001	2.150305E-001	2.429185E-001	2.539752E-001	2.262514E-001	2.768549E-001	2.434659E-001	2.652782E-001	2.052875E-001	2.632530E-001	2.000055E-001	2.321355E-001	2.569310E-001	2.115274E-001	2.673308E-001	2.054791E-001
717.4	2.363827E-001	2.346913E-001	2.625127E-001	2.734760E-001	2.455720E-001	2.960361E-001	2.635319E-001	2.837507E-001	2.241413E-001	2.817949E-001	2.194309E-001	2.501446E-001	2.755971E-001	2.305870E-001	2.864226E-001	2.242514E-001
719.3	2.562043E-001	2.548154E-001	2.821815E-001	2.931168E-001	2.651957E-001	3.152651E-001	2.837358E-001	3.022481E-001	2.437968E-001	3.005273E-001	2.398279E-001	2.683042E-001	2.944491E-001	2.502359E-001	3.055232E-001	2.437136E-001
721.1	2.761825E-001	2.749972E-001	3.019796E-001	3.123532E-001	2.850073E-001	3.340510E-001	3.038810E-001	3.204619E-001	2.635052E-001	3.190359E-001	2.604015E-001	2.863774E-001	3.131641E-001	2.706073E-001	3.242367E-001	2.633654E-001
