"","ID","week","date","time","nm","refl","rep","treatment","sensor","device"
"126","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",558.9,0.0006809491,1,"control","df","VIS"
"127","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",560.8,0.0005615086,1,"control","df","VIS"
"128","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",562.6,0.0003936362,1,"control","df","VIS"
"129","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",564.5,0.0003821778,1,"control","df","VIS"
"130","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",566.3,0.0006752609,1,"control","df","VIS"
"131","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",568.2,0.000520752,1,"control","df","VIS"
"132","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",570,0.0004186825,1,"control","df","VIS"
"133","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",571.9,0.0002623983,1,"control","df","VIS"
"134","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",573.7,0.0002548988,1,"control","df","VIS"
"135","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",575.5,0.0004296324,1,"control","df","VIS"
"136","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",577.4,0.0004672169,1,"control","df","VIS"
"137","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",579.2,0.0003251277,1,"control","df","VIS"
"138","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",581.1,0.00022987,1,"control","df","VIS"
"139","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",582.9,0.0002231645,1,"control","df","VIS"
"140","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",584.8,0.0003686636,1,"control","df","VIS"
"141","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",586.6,0.0003123373,1,"control","df","VIS"
"142","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",588.4,0.000278668,1,"control","df","VIS"
"143","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",590.3,0.0001973619,1,"control","df","VIS"
"144","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",592.1,0.0002233781,1,"control","df","VIS"
"145","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",594,0.0003690037,1,"control","df","VIS"
"146","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",595.8,0.0003129727,1,"control","df","VIS"
"147","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",597.6,0.0002788104,1,"control","df","VIS"
"148","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",599.5,0.0001966891,1,"control","df","VIS"
"149","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",601.3,0.0001912594,1,"control","df","VIS"
"150","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",603.1,0.0004297642,1,"control","df","VIS"
"151","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",605,0.0003125,1,"control","df","VIS"
"152","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",606.8,0.000332937,1,"control","df","VIS"
"153","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",608.6,0.0001696468,1,"control","df","VIS"
"154","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",610.5,0.0001674761,1,"control","df","VIS"
"155","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",612.3,0.0003901982,1,"control","df","VIS"
"156","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",614.1,0.000200088,1,"control","df","VIS"
"157","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",615.9,0.0003016045,1,"control","df","VIS"
"158","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",617.8,0.0002565418,1,"control","df","VIS"
"159","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",619.6,0.0002969827,1,"control","df","VIS"
"160","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",621.4,0.000302334,1,"control","df","VIS"
"161","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",623.3,0.0002414584,1,"control","df","VIS"
"162","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",625.1,0.0002981515,1,"control","df","VIS"
"163","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",626.9,0.0002351973,1,"control","df","VIS"
"164","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",628.7,0.0002894188,1,"control","df","VIS"
"165","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",630.5,0.0002848678,1,"control","df","VIS"
"166","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",632.4,0.0002805994,1,"control","df","VIS"
"167","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",634.2,0.0002761973,1,"control","df","VIS"
"168","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",636,0.000216673,1,"control","df","VIS"
"169","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",637.8,0.0002638522,1,"control","df","VIS"
"170","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",639.6,0.00024995,1,"control","df","VIS"
"171","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",641.5,0.0002203517,1,"control","df","VIS"
"172","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",643.3,0.0001924465,1,"control","df","VIS"
"173","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",645.1,0.0001371272,1,"control","df","VIS"
"174","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",646.9,0.0002497253,1,"control","df","VIS"
"175","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",648.7,0.0001937609,1,"control","df","VIS"
"176","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",650.5,0.0002199494,1,"control","df","VIS"
"177","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",652.3,0.0002072861,1,"control","df","VIS"
"178","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",654.1,0.000227609,1,"control","df","VIS"
"179","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",656,0.0002711313,1,"control","df","VIS"
"180","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",657.8,0.000248911,1,"control","df","VIS"
"181","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",659.6,0.0003162755,1,"control","df","VIS"
"182","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",661.4,0.0002555094,1,"control","df","VIS"
"183","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",663.2,0.0002574334,1,"control","df","VIS"
"184","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",665,0.0002586486,1,"control","df","VIS"
"185","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",666.8,0.0002614379,1,"control","df","VIS"
"186","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",668.6,0.0002634178,1,"control","df","VIS"
"187","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",670.4,0.0002652696,1,"control","df","VIS"
"188","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",672.2,0.0002002537,1,"control","df","VIS"
"189","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",674,0.0002696145,1,"control","df","VIS"
"190","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",675.8,0.0002716653,1,"control","df","VIS"
"191","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",677.6,0.0002750464,1,"control","df","VIS"
"192","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",679.4,0.0002778743,1,"control","df","VIS"
"193","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",681.2,0.0002803869,1,"control","df","VIS"
"194","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",683,0.0002836477,1,"control","df","VIS"
"195","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",684.8,0.0002149459,1,"control","df","VIS"
"196","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",686.6,0.0002904655,1,"control","df","VIS"
"197","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",688.4,0.0002199252,1,"control","df","VIS"
"198","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",690.2,0.0002961208,1,"control","df","VIS"
"199","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",692,0.0002988866,1,"control","df","VIS"
"200","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",693.7,0.0003037436,1,"control","df","VIS"
"201","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",695.5,0.0003067955,1,"control","df","VIS"
"202","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",697.3,0.0003106072,1,"control","df","VIS"
"203","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",699.1,0.000469888,1,"control","df","VIS"
"204","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",700.9,0.0004769475,1,"control","df","VIS"
"205","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",702.7,0.0006431902,1,"control","df","VIS"
"206","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",704.5,0.0008150624,1,"control","df","VIS"
"207","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",706.2,0.0009915716,1,"control","df","VIS"
"208","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",708,0.00125934,1,"control","df","VIS"
"209","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",709.8,0.001777552,1,"control","df","VIS"
"210","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",711.6,0.002837245,1,"control","df","VIS"
"211","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",713.4,0.004538314,1,"control","df","VIS"
"212","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",715.1,0.006907545,1,"control","df","VIS"
"213","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",716.9,0.009876987,1,"control","df","VIS"
"214","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",718.7,0.01308853,1,"control","df","VIS"
