"","ID","tree","device","sensor","week","rep","nm","refl"
"97","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",419,0.000539207421052633
"98","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",420,0.000686119789473683
"99","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",421,0.000573225057894738
"100","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",422,0.000348984426315787
"101","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",423,0.000289295542105263
"102","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",424,0.000270744594736842
"103","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",425,0.00025621432631579
"104","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",426,0.0002421308
"105","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",427,0.000230749957894737
"106","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",428,0.000230735857894739
"107","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",429,0.000333022436842106
"108","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",430,0.000412475777777778
"109","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",431,0.000400596166666667
"110","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",432,0.000349677136842107
"111","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",433,0.000240198978947369
"112","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",434,0.000183438294736842
"113","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",435,0.000179395084210526
"114","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",436,0.000229121947368422
"115","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",437,0.000314695526315789
"116","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",438,0.000335565084210526
"117","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",439,0.000328704347368421
"118","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",440,0.000322018768421053
"119","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",441,0.000315376978947369
"120","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",442,0.000237300057894738
"121","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",443,0.0001512859
"122","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",444,0.000225420373684211
"123","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",445,0.00029937888888889
"124","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",446,0.000371753777777779
"125","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",447,0.000420192047368421
"126","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",448,0.000412778205263158
"127","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",449,0.000405065584210526
"128","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",450,0.000396904794736842
"129","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",451,0.0003891054
"130","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",452,0.0003816674
"131","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",453,0.000374497189473684
"132","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",454,0.000367505505263158
"133","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",455,0.000360327252631579
"134","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",456,0.000353069042105263
"135","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",457,0.000295748377777777
"136","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",458,0.0002259121
"137","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",459,0.00022151457368421
"138","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",460,0.000211639036842104
"139","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",461,0.000152461405263158
"140","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",462,0.000104738552631579
"141","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",463,0.000102834815789474
"142","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",464,0.000116514405263158
"143","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",465,0.000166555089473684
"144","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",466,0.000195190988888889
"145","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",467,0.000191719711111111
"146","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",468,0.000188679084210526
"147","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",469,0.000185925557894737
"148","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",470,0.000183281121052632
"149","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",471,0.000180683436842105
"150","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",472,0.000252432994736842
"151","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",473,0.000342769363157893
"152","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",474,0.000307348021052632
"153","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",475,0.0002579536
"154","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",476,0.000255221822222222
"155","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",477,0.000252488515789474
"156","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",478,0.000249749094736842
"157","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",479,0.00026002722631579
"158","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",480,0.000300679647368421
"159","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",481,0.000340470026315789
"160","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",482,0.000378967342105263
"161","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",483,0.000396302722222222
"162","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",484,0.000392476166666667
