Transmitance	
Time	06/08/2024 13:59:17	06/08/2024 13:59:52	06/08/2024 14:00:32	06/08/2024 14:00:56	06/08/2024 14:02:40	06/08/2024 14:04:30	06/08/2024 14:04:57	06/08/2024 14:05:23	06/08/2024 14:05:54	06/08/2024 14:06:15	06/08/2024 14:06:34	06/08/2024 14:06:45	06/08/2024 14:16:07	06/08/2024 14:16:23	06/08/2024 14:16:33	
Name																
GPS	55° 51.7072' N  -3° 371.9475' W	55° 51.7109' N  -3° 371.9508' W	55° 51.7125' N  -3° 371.9516' W	55° 51.7100' N  -3° 371.9487' W	55° 51.7103' N  -3° 371.9495' W	55° 51.7080' N  -3° 371.9488' W	55° 51.7080' N  -3° 371.9488' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7108' N  -3° 371.9542' W	55° 51.7108' N  -3° 371.9542' W	55° 51.7142' N  -3° 371.9619' W	55° 51.7117' N  -3° 371.9569' W	55° 51.7117' N  -3° 371.9569' W	
[nm]	
401.4	0.000000E+000	0.000000E+000	1.123596E-002	0.000000E+000	1.123596E-002	2.247191E-002	1.123596E-002	1.123596E-002	2.247191E-002	2.247191E-002	1.123596E-002	3.370787E-002	3.937008E-003	0.000000E+000	1.968504E-003
403.3	8.403361E-003	0.000000E+000	8.403361E-003	1.680672E-002	8.403361E-003	1.680672E-002	0.000000E+000	8.403361E-003	1.680672E-002	8.403361E-003	8.403361E-003	8.403361E-003	4.815409E-003	-1.605136E-003	1.605136E-003
405.2	0.000000E+000	6.578947E-003	0.000000E+000	6.578947E-003	6.578947E-003	1.315789E-002	1.315789E-002	6.578947E-003	1.315789E-002	1.315789E-002	1.315789E-002	1.315789E-002	3.690037E-003	-1.230012E-003	1.230012E-003
407.1	5.025126E-003	5.025126E-003	5.025126E-003	5.025126E-003	0.000000E+000	1.005025E-002	5.025126E-003	5.025126E-003	5.025126E-003	1.005025E-002	1.005025E-002	1.507538E-002	2.742230E-003	-9.140768E-004	0.000000E+000
409	7.017544E-003	7.017544E-003	3.508772E-003	3.508772E-003	3.508772E-003	7.017544E-003	7.017544E-003	3.508772E-003	7.017544E-003	7.017544E-003	7.017544E-003	7.017544E-003	2.042206E-003	0.000000E+000	0.000000E+000
410.9	2.583979E-003	2.583979E-003	2.583979E-003	2.583979E-003	2.583979E-003	2.583979E-003	2.583979E-003	2.583979E-003	5.167959E-003	5.167959E-003	7.751938E-003	2.583979E-003	1.628664E-003	-5.428882E-004	5.428882E-004
412.8	1.834862E-003	1.834862E-003	1.834862E-003	0.000000E+000	1.834862E-003	3.669725E-003	3.669725E-003	1.834862E-003	3.669725E-003	3.669725E-003	3.669725E-003	3.669725E-003	1.364877E-003	0.000000E+000	4.549591E-004
414.7	1.239157E-003	1.239157E-003	0.000000E+000	0.000000E+000	1.239157E-003	2.478315E-003	2.478315E-003	1.239157E-003	1.239157E-003	1.239157E-003	2.478315E-003	2.478315E-003	1.628664E-003	4.071661E-004	4.071661E-004
416.5	1.734605E-003	8.673027E-004	1.734605E-003	1.734605E-003	8.673027E-004	1.734605E-003	1.734605E-003	0.000000E+000	8.673027E-004	8.673027E-004	2.601908E-003	1.734605E-003	1.431639E-003	3.579098E-004	7.158196E-004
418.4	0.000000E+000	1.282051E-003	0.000000E+000	1.282051E-003	6.410256E-004	1.923077E-003	6.410256E-004	1.282051E-003	6.410256E-004	6.410256E-004	1.923077E-003	1.923077E-003	9.658725E-004	0.000000E+000	6.439150E-004
