Transmitance	
Time	06/08/2024 16:02:18	06/08/2024 16:03:24	06/08/2024 16:04:16	06/08/2024 16:05:28	06/08/2024 16:05:51	06/08/2024 16:06:22	06/08/2024 16:08:07	06/08/2024 16:08:42	06/08/2024 16:09:05	06/08/2024 16:12:55	06/08/2024 16:13:25	06/08/2024 16:13:42	06/08/2024 16:14:00	06/08/2024 16:14:18	06/08/2024 16:14:31	
Name																
GPS	55° 51.7089' N  -3° 371.9495' W	55° 51.7079' N  -3° 371.9492' W	55° 51.7110' N  -3° 371.9524' W	55° 51.7074' N  -3° 371.9491' W	55° 51.7084' N  -3° 371.9507' W	55° 51.7087' N  -3° 371.9457' W	55° 51.7072' N  -3° 371.9463' W	55° 51.7115' N  -3° 371.9501' W	55° 51.7093' N  -3° 371.9479' W	55° 51.7098' N  -3° 371.9505' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7130' N  -3° 371.9547' W	55° 51.7134' N  -3° 371.9552' W	55° 51.7134' N  -3° 371.9552' W	
[nm]	
688.9	5.563630E-002	6.979436E-002	7.687339E-002	5.601314E-002	6.855620E-002	8.524440E-002	7.243217E-002	6.424957E-002	7.267442E-002	6.136951E-002	8.758613E-002	6.869078E-002	6.201550E-002	6.492248E-002	5.781654E-002
690.8	5.707775E-002	7.415550E-002	7.857909E-002	5.718499E-002	7.227882E-002	8.927614E-002	7.777480E-002	6.670241E-002	7.648794E-002	6.324397E-002	9.340483E-002	7.487936E-002	6.412869E-002	6.989276E-002	5.908847E-002
692.7	5.949901E-002	8.107675E-002	8.131710E-002	5.931208E-002	7.824601E-002	9.515035E-002	8.591038E-002	7.047482E-002	8.249212E-002	6.644234E-002	1.019335E-001	8.404102E-002	6.745714E-002	7.768520E-002	6.142178E-002
694.6	6.358643E-002	9.118055E-002	8.539512E-002	6.315986E-002	8.736803E-002	1.034713E-001	9.749920E-002	7.598379E-002	9.110057E-002	7.150475E-002	1.133891E-001	9.669937E-002	7.235790E-002	8.883438E-002	6.507945E-002
696.5	6.971794E-002	1.044971E-001	9.135178E-002	6.875998E-002	9.925492E-002	1.147153E-001	1.122938E-001	8.363491E-002	1.023683E-001	7.924428E-002	1.278073E-001	1.129324E-001	7.937733E-002	1.036722E-001	7.086216E-002
698.4	7.815701E-002	1.210396E-001	9.965151E-002	7.672049E-002	1.142029E-001	1.286212E-001	1.300577E-001	9.318720E-002	1.161182E-001	8.970232E-002	1.448219E-001	1.318401E-001	8.861164E-002	1.216249E-001	7.855604E-002
700.3	8.894807E-002	1.397071E-001	1.098535E-001	8.705726E-002	1.314514E-001	1.445007E-001	1.495872E-001	1.050599E-001	1.319041E-001	1.026099E-001	1.635153E-001	1.528628E-001	1.002130E-001	1.417843E-001	8.860186E-002
702.2	1.019782E-001	1.599659E-001	1.221073E-001	9.931215E-002	1.502879E-001	1.621787E-001	1.702037E-001	1.184814E-001	1.490882E-001	1.177082E-001	1.832942E-001	1.747361E-001	1.133891E-001	1.635118E-001	1.003519E-001
704.1	1.162294E-001	1.809704E-001	1.359216E-001	1.132101E-001	1.699353E-001	1.804895E-001	1.910971E-001	1.332496E-001	1.669428E-001	1.344520E-001	2.036552E-001	1.969219E-001	1.281996E-001	1.857532E-001	1.137177E-001
706	1.320021E-001	2.022246E-001	1.508443E-001	1.283302E-001	1.897615E-001	1.998124E-001	2.119003E-001	1.488609E-001	1.853122E-001	1.524792E-001	2.238274E-001	2.190029E-001	1.442241E-001	2.080407E-001	1.285178E-001
